Sample_ID,Z_Score_Natural,Z_Score_Watermarked,PPL_Natural,PPL_Watermarked,Text_Watermarked
1,1.013,3.263,10.025,8.096,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and succeeded his brother, the Pope IV.

In 774, the Pope IV was consecrated as Bishop of Salzburg and succeeded his brother, the Pope IV.

In 775, the Pope IV was consecrated as Bishop"
2,2.588,6.188,11.38,14.798,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said.
INDIANAPOLIS — Hakeem Butler has been the centerpiece of the Colts' offense since he took over after injured Malcolm Jenkins.
Butler led the Colts with six catches on 40 targets for 119 yards with no touchdowns in the third quarter against Denver.
That's how it was at least"
3,0.788,3.713,14.104,13.529,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality, creating an immersive experience.

In a video presented in the web player, the 8i Portal is the first augmented reality, virtual reality, and gaming device to be built into a 3D video.

“It’s"
4,-1.238,3.938,13.599,12.788,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only if they are approved.

City Council members have said they will weigh whether to grant Amazon the opportunity to build its headquarters campus and to ask the county board to approve that funding.

City Council members have said they will weigh whether to grant"
5,0.453,4.303,15.082,18.011,"Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering information risk management, internal IT risk management, and information data protection services. He has worked at numerous corporations throughout the world. He has authored numerous books, articles, and articles on the topic of cyber security in the area of information data protection and information data protection.

"
6,1.013,3.263,12.594,9.173,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he was very upset over the incident but said the incident was not a serious one.

“It was not very serious, and I was not very upset, and I was not very angry, and I was not very angry, and I was not very angry, and I was"
7,-0.338,3.713,7.599,10.454,"Shania Twain expected to break the charts with new album NOW!
Even after a 15-year hiatus, she’s still the one who has everyone’s attention.
On Wednesday, the 37-year-old hitmaker will be playing in New York for her newest album NOW!, which was announced during the Super Bowl in New York on Thursday.
“It was"
8,-0.563,4.163,7.707,10.398,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 16.
Assembled by India, the three-member group is set to join other leaders of the three countries to address the coronavirus pandemic.
India is the third country to join the three-member group.
Also Read | China and Hong Kong Sign Agreement"
9,-0.338,3.713,8.862,12.084,"A blind man in his 60s is searching for the young man who pulled him back from an approaching train and saved his life last Thursday, Nov. 7, 2018.

Police say the 37-year-old man, identified as Ernesto Gonzalez, was at Station A when the three-mile train approached the station, and then slid off the tracks.

Gonzalez was"
10,1.013,5.063,9.399,16.487,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of the UCSB Osteoarthritis Clinic, told the UCSB Newsroom on Thursday how Kevin and Dr. David have been working out at school.

“It was a little weird to see Kevin and Dr. David. I"
11,0.338,4.613,13.918,18.017,"This month some important Walmart news did not get the attention it deserved. The news wasn't some flashy announcement about virtual reality or about some new service. It wasn't anything that was announced about its availability. It wasn't anything that was announced about its availability.

That's how it works in the online marketplace: The store's announcement was not very exciting. It wasn't anything that was"
12,-0.338,3.038,8.012,6.872,"University of Utah track and field athlete Lauren McCluskey was found shot dead Monday night in the backseat of a vehicle outside a campus dormitory, the Utah Department of Health said.

Police said McCluskey, 25, was found in the backseat with multiple gunshot wounds.

Police said McCluskey, a basketball player at the University of Utah track and field and field"
13,-1.688,2.717,15.295,22.544,"The Linux kernel now includes everything that is needed to use 3D acceleration with all GeForce graphics chips. Drivers have also been added for a Wireless Gigabit Ethernet (WGA) connection to a laptop (like a laptop). This is where your desktop can host 3D graphics.

Windows 10 has now been released to update the Windows 10 desktop to version 6.0.0.

"
14,-1.463,0.338,9.547,7.878,"The location of the July 15, 2002 flare is shown at left. The other panels compare the scale of Earth to the eruptions. Red shows the area under the flare and blue shows the area under the flare.

(Source: NASA)

(Source: NASA)

(Source: NASA)

(Source: NASA)

(Source: NASA)
"
15,-0.113,5.288,8.443,6.318,"Last summer I took a cross-country road trip with a group of people driving different types of electric vehicles.
It was an amazing experience, and I hope I will again.
Having a friend drive a car for a weekend is so much more fun than having a friend drive a car for a weekend.
Having a friend drive a car for a weekend is so much more fun than having"
16,-0.788,4.163,12.629,13.514,"Larry checks in with KPCC reporter Sharon McNary, who’s been hitting up several polling stations in Orange County and Los Angeles County, since March.

“It was a little weird to see my name in the paper as a Democrat, since it was my name in the paper as a Democrat, since it was my name in the paper as a Democrat, since it was"
17,0.338,2.813,10.796,9.971,"According to Variety, one of the movies about the 1973 tennis match between Billie Jean King and Bobby Riggs is recasting one of its leads.

In a recent interview, the 37-year-old King said Riggs' portrayal of the three-time Olympic champion is the ""most important character"" of the film, while Riggs' portrayal of the three-time Olympic champion"
18,0.113,2.363,10.587,7.212,"Health authorities in New Zealand said that about 200 passengers on the Dawn Princess ship became infected with the norovirus.
The ship was scheduled to dock in New Zealand on Thursday.
New Zealand Prime Minister Jacinda Ardern on Thursday urged people with Covid-19 symptoms to go home.
New Zealand Prime Minister Jacinda Ardern on Thursday urged people with Covid-19"
19,1.013,3.488,14.251,16.816,"Politico, which broke the PR story, reports, “The group circulated a memo to reporters and producers late Monday that discouraged them from airing their stories, since it was not clear if they’d received any new ones.”

That memo is the third time PR is reporting that they’ve gone after reporters.

In November, the network reported that they"
20,-0.338,2.813,7.719,8.369,"NEW YORK (AP) — Could the U.S. lose its top credit rating even if a deal is reached to raise the debt limit?

That’s a question that some think could make it harder for President Barack Obama to persuade a Democrat-led Senate to join him in pulling out of the 2011 debt limit bill.

That’s because the bill, the"
21,-0.338,3.263,10.738,9.565,"MAMADOU SAKHO remains unavailable for selection for Liverpool's Europa League semi-final first leg clash with Villarreal in Spain on Thursday.

Having missed last season's Champions League game against Chelsea, the 24-year-old has again been ruled out of the third leg in Villarreal after testing positive for Covid-19.

Liverpool are yet to announce"
22,1.238,2.813,7.478,14.828,"IHS Markit INFO, -0.02% a world leader in critical information, analytics and solutions, expanded its alternative data offering for asset management with the inclusion of the H&R Block Analytics platform.

H&R Block Analytics is the world's leading provider of integrated data analytics, enterprise-grade predictive analytics, and information and information technology solutions for asset management, financial planning and"
23,-0.563,1.688,16.605,8.084,"MK Moshe Feiglin in a Knesset committee meeting, next to MK Ahmad Tibi, in 2014. It appears Feiglin's government has been unable to find an agreement to join the coalition. (AP)
MK Moshe Feiglin in a Knesset committee meeting, next to MK Ahmad Tibi, in 2014. It appears Feiglin's government has"
24,-0.338,4.163,23.391,15.742,"SOUND FORGE Audio Cleaning Lab can be used to record any sound you can hear on your computer - from internet radio to LPs and Tabs.

You can also listen to a music file on your computer and record it on VH1, your computer or your desktop computer.

You can also listen to a music file on VH1, your computer or your"
25,-3.038,3.038,6.881,12.181,"What’s the news? A couple of weeks ago, Instagram promised you’d be able to download your data from its servers. Well, since then it has been nothing but a little joke and a little joke.

Now, the big problem with that promise is that users will be able to see and share their data without having to go through the third-party data broker"
26,0.338,4.388,8.127,8.901,"President Donald Trump returned to Washington, DC on Monday for a very important event.
It was not for a meeting with an international leader.
But his official visit will be different from the one we have seen so much recently.
That is where Trump meets with Xi Jinping, the Chinese leader's country manager.
That is where Trump meets with Xi Jinping, the Chinese leader's country manager"
27,0.113,4.163,11.182,9.55,"So you might ask yourself, “What is going on?” How can things be so bad that educators feel the need to petition?

That’s a good question…because there is so much more to this issue.

In fact, the best way to address the issue is for educators to petition.

That’s how we can change the perception"
